text,lemma,pos,tag,dependency,morph,utterance_id,speaker_code
elle,lui,PRON,PRON,nsubj,Gender=Fem|Number=Sing|Person=3,17477532,MOT
est,être,VERB,VERB,acl:relcl,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477532,MOT
?,?,PUNCT,PUNCT,punct,,17477532,MOT
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477538,CHI
.,.,PUNCT,PUNCT,punct,,17477538,CHI
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17477553,MOT
fais,faire,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,17477553,MOT
les,le,DET,DET,det,Definite=Def|Number=Plur|PronType=Art,17477553,MOT
marionnettes,marionnette,NOUN,NOUN,obj,Gender=Fem|Number=Plur,17477553,MOT
?,?,PUNCT,PUNCT,punct,,17477553,MOT
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477565,CHI
.,.,PUNCT,PUNCT,punct,,17477565,CHI
mhm,mhm,ADJ,ADJ,ROOT,Number=Plur,17477576,MOT
.,.,PUNCT,PUNCT,punct,,17477576,MOT
ah,ah,CCONJ,CCONJ,ROOT,,17477585,MOT
!,!,PUNCT,PUNCT,punct,,17477585,MOT
éh,éh,PRON,PRON,ROOT,Number=Sing|Person=3,17477595,CHI
.,.,PUNCT,PUNCT,punct,,17477595,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17477607,CHI
.,.,PUNCT,PUNCT,punct,,17477607,CHI
ben,ben,X,X,punct,,17477613,MOT
il,il,PRON,PRON,expl:subj,Gender=Masc|Number=Sing|Person=3,17477613,MOT
est,être,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477613,MOT
!,!,PUNCT,PUNCT,punct,,17477613,MOT
il,il,PRON,PRON,nsubj,Gender=Masc|Number=Sing|Person=3,17477621,MOT
est,être,AUX,AUX,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477621,MOT
là,là,ADV,ADV,obl:arg,,17477621,MOT
et,et,CCONJ,CCONJ,cc,,17477621,MOT
alors,alors,ADV,ADV,conj,,17477621,MOT
?,?,PUNCT,PUNCT,punct,,17477621,MOT
ah,ah,PRON,PRON,nsubj,PronType=Rel,17477631,MOT
c',ce,PRON,PRON,nsubj,Number=Sing|Person=3,17477631,MOT
est,être,AUX,AUX,cop,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477631,MOT
ton,ton,DET,DET,det,Number=Sing|Poss=Yes,17477631,MOT
pied,pied,NOUN,NOUN,ROOT,Gender=Masc|Number=Sing,17477631,MOT
qui,qui,PRON,PRON,nsubj,PronType=Rel,17477631,MOT
bloque,bloque,VERB,VERB,acl:relcl,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477631,MOT
!,!,PUNCT,PUNCT,punct,,17477631,MOT
voilà,voilà,VERB,VERB,ROOT,VerbForm=Inf,17477641,MOT
!,!,PUNCT,PUNCT,punct,,17477641,MOT
et,et,CCONJ,CCONJ,cc,,17477651,MOT
l',le,DET,DET,det,Definite=Def|Number=Sing|PronType=Art,17477651,MOT
autre,autre,PRON,PRON,ROOT,Number=Sing,17477651,MOT
?,?,PUNCT,PUNCT,punct,,17477651,MOT
il,il,PRON,PRON,nsubj,Gender=Masc|Number=Sing|Person=3,17477670,MOT
doit,devoir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477670,MOT
être,être,AUX,AUX,cop,VerbForm=Inf,17477670,MOT
dessous,dessous,NOUN,NOUN,xcomp,Gender=Masc|Number=Sing,17477670,MOT
!,!,PUNCT,PUNCT,punct,,17477670,MOT
vasy,vasy,ADJ,ADJ,ROOT,Gender=Masc|Number=Sing,17477684,MOT
!,!,PUNCT,PUNCT,punct,,17477684,MOT
et,et,CCONJ,CCONJ,cc,,17477697,MOT
voilà,voilà,VERB,VERB,ROOT,Tense=Pres|VerbForm=Part,17477697,MOT
xxx,xxx,VERB,VERB,obj,VerbForm=Inf,17477697,MOT
!,!,PUNCT,PUNCT,punct,,17477697,MOT
on,on,PRON,PRON,nsubj,Number=Sing|Person=3,17477709,MOT
met,mettre,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477709,MOT
là,là,ADV,ADV,obl:arg,,17477709,MOT
?,?,PUNCT,PUNCT,punct,,17477709,MOT
hm,hm,NOUN,NOUN,ROOT,Gender=Masc,17477722,CHI
.,.,PUNCT,PUNCT,punct,,17477722,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477730,CHI
.,.,PUNCT,PUNCT,punct,,17477730,CHI
oh,oh,PRON,PRON,ROOT,Number=Sing|Person=1,17477743,MOT
!,!,PUNCT,PUNCT,punct,,17477743,MOT
xxx,xx,NOUN,NOUN,ROOT,Number=Sing,17477748,MOT
ton,ton,DET,DET,det,Number=Sing|Poss=Yes,17477748,MOT
pied,pied,NOUN,NOUN,obj,Gender=Masc|Number=Sing,17477748,MOT
!,!,PUNCT,PUNCT,ROOT,,17477748,MOT
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477754,CHI
.,.,PUNCT,PUNCT,punct,,17477754,CHI
xxx,xxx,ADJ,ADJ,ROOT,Number=Sing,17477768,CHI
.,.,PUNCT,PUNCT,ROOT,,17477768,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477778,CHI
.,.,PUNCT,PUNCT,punct,,17477778,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477785,CHI
.,.,PUNCT,PUNCT,punct,,17477785,CHI
hoplà,hoplà,NOUN,NOUN,ROOT,Gender=Fem|Number=Sing,17477799,MOT
.,.,PUNCT,PUNCT,ROOT,,17477799,MOT
non,non,ADV,ADV,advmod,,17477813,MOT
non,non,ADV,ADV,fixed,,17477813,MOT
.,.,PUNCT,PUNCT,ROOT,,17477813,MOT
www,www,PRON,PRON,ROOT,Number=Sing,17477822,CHI
.,.,PUNCT,PUNCT,punct,,17477822,CHI
tiens,tenir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477838,MOT
!,!,PUNCT,PUNCT,punct,,17477838,MOT
www,www,PRON,PRON,ROOT,Number=Sing,17477845,CHI
.,.,PUNCT,PUNCT,punct,,17477845,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477869,CHI
.,.,PUNCT,PUNCT,punct,,17477869,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477886,CHI
.,.,PUNCT,PUNCT,punct,,17477886,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477907,CHI
.,.,PUNCT,PUNCT,punct,,17477907,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477915,CHI
.,.,PUNCT,PUNCT,punct,,17477915,CHI
oh,oh,PRON,PRON,nsubj,Number=Sing|Person=1,17477926,MOT
elles,lui,PRON,PRON,nsubj,Gender=Fem|Number=Plur|Person=3,17477926,MOT
sont,être,AUX,AUX,ROOT,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,17477926,MOT
où,où,PRON,PRON,dep,,17477926,MOT
?,?,PUNCT,PUNCT,punct,,17477926,MOT
voilà,voilà,VERB,VERB,ROOT,Tense=Pres|VerbForm=Part,17477939,MOT
elle,lui,PRON,PRON,nsubj,Gender=Fem|Number=Sing|Person=3,17477939,MOT
est,être,AUX,AUX,cop,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477939,MOT
partie,partie,NOUN,NOUN,obj,Gender=Fem|Number=Sing,17477939,MOT
!,!,PUNCT,PUNCT,punct,,17477939,MOT
elle,lui,PRON,PRON,nsubj,Gender=Fem|Number=Sing|Person=3,17477949,MOT
est,être,AUX,AUX,cop,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477949,MOT
partie,partir,VERB,VERB,advmod,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,17477949,MOT
la,le,DET,DET,det,Definite=Def|Gender=Fem|Number=Sing|PronType=Art,17477949,MOT
balle,balle,NOUN,NOUN,ROOT,Gender=Fem|Number=Sing,17477949,MOT
.,.,PUNCT,PUNCT,punct,,17477949,MOT
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17477961,MOT
as,avoir,AUX,AUX,aux:tense,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,17477961,MOT
vu,voir,VERB,VERB,ROOT,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,17477961,MOT
?,?,PUNCT,PUNCT,punct,,17477961,MOT
hoplà,hoplà,NOUN,NOUN,ROOT,Gender=Fem|Number=Sing,17477973,INV
.,.,PUNCT,PUNCT,ROOT,,17477973,INV
regarde,regarde,VERB,VERB,ROOT,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,17477984,MOT
.,.,PUNCT,PUNCT,punct,,17477984,MOT
oh,oh,PRON,PRON,nsubj,Number=Sing|Person=3,17477997,INV
elle,lui,PRON,PRON,nsubj,Gender=Fem|Number=Sing|Person=3,17477997,INV
revient,revenir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17477997,INV
.,.,PUNCT,PUNCT,punct,,17477997,INV
merci,merci,NOUN,NOUN,ROOT,Gender=Masc|Number=Sing,17478010,MOT
!,!,PUNCT,PUNCT,punct,,17478010,MOT
tiens,tenir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478021,MOT
pitchoune,pitchoun,ADJ,ADJ,amod,,17478021,MOT
.,.,PUNCT,PUNCT,punct,,17478021,MOT
non,non,ADV,ADV,advmod,,17478042,MOT
non,non,ADV,ADV,ROOT,,17478042,MOT
non,non,ADV,ADV,fixed,,17478042,MOT
!,!,PUNCT,PUNCT,ROOT,,17478042,MOT
www,www,PRON,PRON,ROOT,Number=Sing,17478054,CHI
.,.,PUNCT,PUNCT,punct,,17478054,CHI
tiens,tenir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478064,MOT
!,!,PUNCT,PUNCT,punct,,17478064,MOT
yyy,yyy,AUX,AUX,expl:pass,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478070,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478070,CHI
.,.,PUNCT,PUNCT,punct,,17478070,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17478084,MOT
.,.,PUNCT,PUNCT,punct,,17478084,MOT
www,www,PRON,PRON,ROOT,Number=Sing,17478102,CHI
.,.,PUNCT,PUNCT,punct,,17478102,CHI
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17478109,INV
sais,savoir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,17478109,INV
jouer,jouer,VERB,VERB,xcomp,VerbForm=Inf,17478109,INV
aux,à,ADP,ADP,case,Definite=Def|Number=Plur|PronType=Art,17478109,INV
boules,boule,NOUN,NOUN,obl:arg,Gender=Fem|Number=Plur,17478109,INV
?,?,PUNCT,PUNCT,punct,,17478109,INV
www,www,PRON,PRON,ROOT,Number=Sing,17478120,CHI
.,.,PUNCT,PUNCT,punct,,17478120,CHI
ah,ah,CCONJ,CCONJ,ROOT,,17478131,CHI
.,.,PUNCT,PUNCT,punct,,17478131,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478139,CHI
ah,ah,CCONJ,CCONJ,obj,,17478139,CHI
.,.,PUNCT,PUNCT,punct,,17478139,CHI
ah,ah,CCONJ,CCONJ,ROOT,,17478148,CHI
.,.,PUNCT,PUNCT,punct,,17478148,CHI
ah,ah,CCONJ,CCONJ,ROOT,,17478160,MOT
!,!,PUNCT,PUNCT,punct,,17478160,MOT
www,www,PRON,PRON,ROOT,Number=Sing,17478177,CHI
.,.,PUNCT,PUNCT,punct,,17478177,CHI
tiens,tenir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478190,MOT
!,!,PUNCT,PUNCT,punct,,17478190,MOT
non,non,ADV,ADV,ROOT,,17478200,MOT
!,!,PUNCT,PUNCT,punct,,17478200,MOT
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17478213,MOT
prends,prendre,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,17478213,MOT
?,?,PUNCT,PUNCT,punct,,17478213,MOT
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17478224,MOT
les,le,DET,DET,det,Definite=Def|Number=Plur|PronType=Art,17478224,MOT
ranges,range,NOUN,NOUN,ROOT,Number=Plur,17478224,MOT
?,?,PUNCT,PUNCT,punct,,17478224,MOT
tiens,tenir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478238,CHI
!,!,PUNCT,PUNCT,punct,,17478238,CHI
donne,donne,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478252,MOT
.,.,PUNCT,PUNCT,punct,,17478252,MOT
non,non,ADV,ADV,ROOT,,17478264,MOT
!,!,PUNCT,PUNCT,punct,,17478264,MOT
donne,donne,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478282,MOT
!,!,PUNCT,PUNCT,punct,,17478282,MOT
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478294,CHI
.,.,PUNCT,PUNCT,punct,,17478294,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17478305,CHI
.,.,PUNCT,PUNCT,punct,,17478305,CHI
hop,hop,X,X,ROOT,,17478315,MOT
.,.,PUNCT,PUNCT,punct,,17478315,MOT
yyy,yyy,AUX,AUX,expl:pass,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478327,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478327,CHI
.,.,PUNCT,PUNCT,punct,,17478327,CHI
www,www,PRON,PRON,ROOT,Number=Sing,17478343,CHI
.,.,PUNCT,PUNCT,punct,,17478343,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478352,CHI
.,.,PUNCT,PUNCT,punct,,17478352,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478367,CHI
.,.,PUNCT,PUNCT,punct,,17478367,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478377,CHI
.,.,PUNCT,PUNCT,punct,,17478377,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478389,CHI
.,.,PUNCT,PUNCT,punct,,17478389,CHI
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17478405,MOT
veux,vouloir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478405,MOT
un,un,DET,DET,det,Definite=Ind|Gender=Masc|Number=Sing|PronType=Art,17478405,MOT
cube,cube,NOUN,NOUN,obj,Gender=Masc|Number=Sing,17478405,MOT
?,?,PUNCT,PUNCT,punct,,17478405,MOT
tiens,tenir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478420,MOT
!,!,PUNCT,PUNCT,punct,,17478420,MOT
je,je,PRON,PRON,nsubj,Number=Sing|Person=1,17478434,MOT
sais,savoir,VERB,VERB,ROOT,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,17478434,MOT
pas,pas,ADV,ADV,advmod,Polarity=Neg,17478434,MOT
si,si,SCONJ,SCONJ,mark,,17478434,MOT
ils,il,PRON,PRON,nsubj,Gender=Masc|Number=Plur|Person=3,17478434,MOT
www,www,AUX,AUX,ccomp,Mood=Sub|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin,17478434,MOT
y,y,PRON,PRON,expl:comp,Person=3,17478434,MOT
sont,être,AUX,AUX,cop,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,17478434,MOT
tous,tout,ADJ,ADJ,amod,Gender=Masc|Number=Plur,17478434,MOT
hein,hein,NOUN,NOUN,xcomp,Gender=Masc|Number=Plur,17478434,MOT
!,!,PUNCT,PUNCT,punct,,17478434,MOT
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478447,CHI
.,.,PUNCT,PUNCT,punct,,17478447,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478460,CHI
.,.,PUNCT,PUNCT,punct,,17478460,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478474,CHI
.,.,PUNCT,PUNCT,punct,,17478474,CHI
blablablabla,blablablabla,NOUN,NOUN,ROOT,Gender=Masc|Number=Plur,17478485,MOT
.,.,PUNCT,PUNCT,punct,,17478485,MOT
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478496,CHI
.,.,PUNCT,PUNCT,punct,,17478496,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478507,CHI
.,.,PUNCT,PUNCT,punct,,17478507,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478514,CHI
.,.,PUNCT,PUNCT,punct,,17478514,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478524,CHI
.,.,PUNCT,PUNCT,punct,,17478524,CHI
xxx,xxx,ADJ,ADJ,nsubj,Number=Sing,17478535,CHI
yyy,yyy,VERB,VERB,ROOT,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,17478535,CHI
.,.,PUNCT,PUNCT,punct,,17478535,CHI
ohlàlà,ohlàlà,NOUN,NOUN,ROOT,Gender=Fem|Number=Sing,17478548,MOT
.,.,PUNCT,PUNCT,punct,,17478548,MOT
ils,il,PRON,PRON,nsubj,Gender=Masc|Number=Plur|Person=3,17478563,MOT
sont,être,AUX,AUX,cop,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,17478563,MOT
pas,pas,ADV,ADV,advmod,Polarity=Neg,17478563,MOT
là,là,ADV,ADV,advmod,,17478563,MOT
les,le,DET,DET,det,Definite=Def|Number=Plur|PronType=Art,17478563,MOT
cubes,cube,NOUN,NOUN,ROOT,Gender=Masc|Number=Plur,17478563,MOT
Ana,Ana,PROPN,PROPN,ROOT,,17478563,MOT
.,.,PUNCT,PUNCT,punct,,17478563,MOT
ils,il,PRON,PRON,nsubj,Gender=Masc|Number=Plur|Person=3,17478574,MOT
doivent,devoir,VERB,VERB,ROOT,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,17478574,MOT
être,être,AUX,AUX,cop,VerbForm=Inf,17478574,MOT
chez,chez,ADP,ADP,case,,17478574,MOT
papi,papi,NOUN,NOUN,xcomp,Gender=Masc|Number=Sing,17478574,MOT
.,.,PUNCT,PUNCT,punct,,17478574,MOT
ouais,ouai,NOUN,NOUN,ROOT,Gender=Masc|Number=Plur,17478588,MOT
!,!,PUNCT,PUNCT,punct,,17478588,MOT
xxx,xxx,ADJ,ADJ,ROOT,Number=Sing,17478601,CHI
.,.,PUNCT,PUNCT,ROOT,,17478601,CHI
ah,ah,INTJ,INTJ,nsubj,,17478614,MOT
tu,tu,PRON,PRON,nsubj,Number=Sing|Person=1,17478614,MOT
as,avoir,AUX,AUX,aux:tense,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,17478614,MOT
trouvé,trouver,VERB,VERB,ROOT,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,17478614,MOT
la,le,DET,DET,det,Definite=Def|Gender=Fem|Number=Sing|PronType=Art,17478614,MOT
brosse,brosse,NOUN,NOUN,obj,Gender=Fem|Number=Sing,17478614,MOT
!,!,PUNCT,PUNCT,punct,,17478614,MOT
